SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,50,54.1899,58.2418,55.6962,63.1285,
71754,55.0459,57.377,59.7826,60.2484,66.2921,
71789,60.5634,59.116,59.5628,61.039,67.4157,
71824,63.8095,58.1921,56.3218,61.5385,66.1017,
71859,63.6364,58.0111,53.9326,60.9756,63.3333,
71894,58.6854,53.4091,48.538,55.1282,56.3218,
71929,53.917,46.5839,41.6149,50.9677,48.503,
71964,48.1818,44.3787,38.75,43.8356,42.8571,
71999,43.5185,33.7423,36.0544,35.6164,34.7826,
72034,39.7129,32.0988,35.4839,32.4138,41.2698,
72069,38.756,30.7692,30.5556,31.8841,34.7518,
72104,35.9606,36.3636,33.3333,36.7089,39.3443,
72139,35.6098,30.4348,30.4965,31.9149,37.0629,
72174,38.5366,29.697,44.186,33.7349,51.0204,
72209,38.1642,32.5581,38.4615,34.1463,43.8596,
