SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,38.326,37.2093,37.6471,47.561,47.3684,
71655,41.1255,41.2429,43.1818,52.6627,56.5217,
71695,46.087,50.7853,51.3228,57.1429,61.9565,
71735,51.0917,54.2553,55.7895,60.4651,65.0273,
71775,57.6577,56.9892,59.1623,60.7143,66.1202,
71815,62.212,56.6667,60.6383,60.452,63.2432,
71855,61.4679,55.3073,57.6087,55.1724,58.7302,
71895,56.7568,51.6854,53.3333,47.929,50.2762,
71935,50.4425,45.3488,50.2762,41.6149,42.0118,
71975,44.9782,39.1813,44.9102,36.646,40.5063,
72015,39.0909,40,40.3974,33.758,37.3494,
72055,39.0135,32.9341,33.3333,32.8947,37.1069,
72095,39.823,33.3333,31.9444,32.9114,33.3333,
