SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,37.7778,42.8571,42.5414,43.4211,53.4091,
71655,41.5929,47.5248,43.3526,50.6329,59.1398,
71695,46.7249,51.0204,53.6082,55.6962,63.0435,
71735,51.7544,54.4041,55.914,59.2814,65.0273,
71775,58.0357,57.0681,60,58.5366,64.1304,
71815,62.5571,57.8947,60.2094,55.5556,60.4278,
71855,60.181,57.8947,57.672,49.0446,55.5556,
71895,55.3571,54.2553,53.5912,43.5897,47.7778,
71935,49.345,49.4506,48.3146,36.8421,38.1818,
71975,44.1048,44.1341,41.5205,33.3333,36.5269,
72015,40.0881,45.0549,39.0728,32.4675,39.1813,
72055,39.2857,31.0734,33.3333,32.9193,31.8519,
72095,35.4839,32.1212,34.2466,31.1688,37.3494,
