SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,40.2597,36.4706,38.9831,46.0526,52.4324,
71655,41.1255,46.9388,43.7838,50.9677,58.2888,
71695,45.4545,49.2063,50,56.8862,63.2432,
71735,48.7805,51.6908,53.8462,59.116,63.8191,
71775,57.1429,57.672,59.1623,59.0361,65.2174,
71815,61.8182,58.7302,60,57.3965,62.1622,
71855,61.086,57.8947,58.9474,49.6933,56.8421,
71895,56.9507,55.3191,57.0681,44.5161,51.0638,
71935,50.2183,50,51.8717,38.0645,40.8284,
71975,45.2174,45.3552,42.0118,34.6667,36.9697,
72015,40.0881,38.6364,37.5,33.3333,36.7089,
72055,38.7931,32.5444,33.3333,32,37.2549,
72095,34.5972,46.6667,46.6667,34.8837,36.4706,
