
cubic Interpolation,X Unit is um: 
 X,Y
12.9598,43.4483
12.9948,50.3597
13.021,62.249
13.0472,65.5462
13.0734,63.5628
13.0996,58.6466

ResultX,ResultY
12.9598,43.4483
12.9608,43.5465
12.9618,43.6452
12.9628,43.7449
12.9639,43.8461
12.9649,43.9494
12.9659,44.0553
12.9669,44.1643
12.9679,44.2768
12.9689,44.3934
12.9699,44.5147
12.9709,44.641
12.972,44.7731
12.973,44.9112
12.974,45.056
12.975,45.208
12.976,45.3677
12.977,45.5356
12.978,45.7122
12.979,45.898
12.9801,46.0935
12.9811,46.2993
12.9821,46.5159
12.9831,46.7437
12.9841,46.9833
12.9851,47.2353
12.9861,47.5
12.9872,47.778
12.9882,48.0699
12.9892,48.3762
12.9902,48.6973
12.9912,49.0337
12.9922,49.3861
12.9932,49.7549
12.9942,50.1405
12.9953,50.5436
12.9963,50.9636
12.9973,51.3991
12.9983,51.8484
12.9993,52.3101
13.0003,52.7826
13.0013,53.2643
13.0023,53.7537
13.0034,54.2493
13.0044,54.7494
13.0054,55.2525
13.0064,55.7571
13.0074,56.2617
13.0084,56.7646
13.0094,57.2643
13.0105,57.7592
13.0115,58.2479
13.0125,58.7287
13.0135,59.2001
13.0145,59.6605
13.0155,60.1084
13.0165,60.5423
13.0175,60.9605
13.0186,61.3616
13.0196,61.744
13.0206,62.106
13.0216,62.4464
13.0226,62.7646
13.0236,63.0615
13.0246,63.3377
13.0256,63.5938
13.0267,63.8306
13.0277,64.0487
13.0287,64.2488
13.0297,64.4316
13.0307,64.5977
13.0317,64.7479
13.0327,64.8829
13.0338,65.0032
13.0348,65.1097
13.0358,65.2029
13.0368,65.2835
13.0378,65.3523
13.0388,65.4099
13.0398,65.4569
13.0408,65.4942
13.0419,65.5223
13.0429,65.5419
13.0439,65.5537
13.0449,65.5584
13.0459,65.5567
13.0469,65.5492
13.0479,65.5366
13.0489,65.5191
13.05,65.4967
13.051,65.4693
13.052,65.437
13.053,65.3998
13.054,65.3575
13.055,65.3102
13.056,65.258
13.0571,65.2006
13.0581,65.1382
13.0591,65.0707
13.0601,64.9982
13.0611,64.9205
13.0621,64.8376
13.0631,64.7497
13.0641,64.6565
13.0652,64.5582
13.0662,64.4546
13.0672,64.3458
13.0682,64.2318
13.0692,64.1125
13.0702,63.988
13.0712,63.8581
13.0722,63.7229
13.0733,63.5824
13.0743,63.4366
13.0753,63.2856
13.0763,63.1296
13.0773,62.9688
13.0783,62.8035
13.0793,62.6339
13.0804,62.4601
13.0814,62.2824
13.0824,62.1009
13.0834,61.9159
13.0844,61.7277
13.0854,61.5363
13.0864,61.342
13.0874,61.145
13.0885,60.9455
13.0895,60.7438
13.0905,60.54
13.0915,60.3343
13.0925,60.127
13.0935,59.9182
13.0945,59.7081
13.0955,59.4971
13.0966,59.2852
13.0976,59.0727
13.0986,58.8598
13.0996,58.6466
